timestep,timestamp_ns,elapsed_s,qpos_left_j1,qpos_left_j2,qpos_left_j3,qpos_left_j4,qpos_left_j5,qpos_left_j6,qpos_left_gripper,qpos_right_j1,qpos_right_j2,qpos_right_j3,qpos_right_j4,qpos_right_j5,qpos_right_j6,qpos_right_gripper,qvel_left_j1,qvel_left_j2,qvel_left_j3,qvel_left_j4,qvel_left_j5,qvel_left_j6,qvel_left_gripper,qvel_right_j1,qvel_right_j2,qvel_right_j3,qvel_right_j4,qvel_right_j5,qvel_right_j6,qvel_right_gripper,action_left_j1,action_left_j2,action_left_j3,action_left_j4,action_left_j5,action_left_j6,action_left_gripper,action_right_j1,action_right_j2,action_right_j3,action_right_j4,action_right_j5,action_right_j6,action_right_gripper
0,2129897419709,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2129917506516,0.020086807,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2129937829367,0.040409658,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2129957729806,0.060310097,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2129977573867,0.080154158,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2129997633719,0.10021401,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2130017700886,0.120281177,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2130037497057,0.140077348,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2130057490482,0.160070773,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2130079833220,0.182413511,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
